train_loss,train_acc,val_loss,val_acc,lr
0.1111757674370892,0.956820412168793,0.1042342317357127,0.9588100686498856,3e-05
0.1035750188457313,0.9612365063788028,0.0986913850730551,0.9576659038901602,3e-05
0.0848909976521099,0.9676153091265948,0.0900052281628761,0.9588100686498856,3e-05
0.0731642844257294,0.973748773307164,0.0874051677695076,0.9633867276887872,3e-05
0.0637551092149806,0.975711481844946,0.080535211924663,0.9668192219679634,3e-05
0.0622189346213417,0.9779195289499508,0.0828648844118496,0.9691075514874142,3e-05
0.0546589868317823,0.9798822374877332,0.0935423900581164,0.9610983981693364,3e-05
0.0511958727256569,0.9811089303238468,0.0752943590715793,0.9668192219679634,3e-05
0.0470700920122908,0.9845436702649656,0.0778839436950095,0.9691075514874142,3e-05
0.0400112608622293,0.9857703631010796,0.073366303624685,0.9736842105263158,3e-05
0.0409071426847731,0.9857703631010796,0.0758060605522976,0.9668192219679634,3e-05
0.040792463730213,0.9847890088321885,0.0845127986976876,0.9702517162471396,3e-05
