train_loss,train_acc,val_loss,val_acc,lr
0.24576932488707826,0.8984298331697743,0.4927073945956571,0.7929061784897025,0.001
0.17634039322729222,0.930323846908734,0.5354050951344627,0.7986270022883295,0.001
0.17647823778679594,0.9305691854759568,0.5191893614828587,0.7963386727688787,0.001
0.16681033137138002,0.9330225711481845,0.24526547081768513,0.8993135011441648,0.001
0.1626779127836926,0.9344946025515211,0.13893509270357235,0.9439359267734554,0.001
0.1420771259072353,0.9452894995093228,0.1433745180921895,0.9462242562929062,0.001
0.1546471783949528,0.9379293424926398,0.2310576799458691,0.9187643020594966,0.001
0.13553263906214852,0.9484789008832188,0.13999172043986619,0.9439359267734554,0.001
0.15632413144339807,0.9416094210009813,0.12544680599655425,0.9530892448512586,0.001
0.1396052178752143,0.9455348380765456,0.12299885494368416,0.954233409610984,0.001
